        -nan         -nan         -nan
        -nan         -nan         -nan
        -nan         -nan         -nan
     626.468            0      587.759
     120.548     -587.759            0
           0     -26622.3        -3977
     26622.3            0      24696.9
        3977     -24696.9            0
           0     -30651.8     -4487.67
     30651.8            0      27905.7
     4487.67     -27905.7            0
           0     -917.947     -104.016
     917.947            0      793.133
     104.016     -793.133            0
           0     -944.194     -107.904
     944.194            0      804.563
     107.904     -804.563            0
           0     -638.691     -71.7075
     638.691            0      571.866
     71.7075     -571.866            0
           0     -106.721     -19.1695
     106.721            0      18.2829
     19.1695     -18.2829            0
           0     -348.519     -52.9674
     348.519            0      190.042
     52.9674     -190.042            0
           0     -351.907     -57.0299
     351.907            0      248.181
     57.0299     -248.181            0
           0     -8294.63     -1021.62
     8294.63            0      6985.26
     1021.62     -6985.26            0
           0     -4476.19     -538.802
     4476.19            0      3424.26
     538.802     -3424.26            0
           0     -4136.65     -544.779
     4136.65            0       3686.7
     544.779      -3686.7            0
           0      -623.03     -58.2983
      623.03            0      569.153
     58.2983     -569.153            0
           0       -705.1     -68.0724
       705.1            0      642.018
     68.0724     -642.018            0
           0     -178.518     -8.77083
     178.518            0      167.789
     8.77083     -167.789            0
           0     -299.447     -27.0211
     299.447            0      262.125
     27.0211     -262.125            0
           0     -126.216     -5.80144
     126.216            0      121.366
     5.80144     -121.366            0
           0     -70.6105     -2.99579
     70.6105            0      66.1695
     2.99579     -66.1695            0
           0     -515.339     -53.8738
     515.339            0       473.68
     53.8738      -473.68            0
           0       -177.9     -9.44202
       177.9            0      163.145
     9.44202     -163.145            0
           0     -11524.3     -1630.55
     11524.3            0      10519.4
     1630.55     -10519.4            0
           0     -666.657     -122.139
     666.657            0       574.56
     122.139      -574.56            0
           0     -544.041     -94.7966
     544.041            0      434.085
     94.7966     -434.085            0
           0     -183.444      -39.837
     183.444            0      105.038
      39.837     -105.038            0
           0     -172.255     -40.6215
     172.255            0      126.284
     40.6215     -126.284            0
           0     -149.114     -29.8263
     149.114            0       60.471
     29.8263      -60.471            0
           0     -198.078      7.09741
     198.078            0      206.405
    -7.09741     -206.405            0
           0     -302.727      7.84049
     302.727            0       299.24
    -7.84049      -299.24            0
           0     -1446.48      109.964
     1446.48            0      1507.91
    -109.964     -1507.91            0
           0     -445.545      39.1794
     445.545            0      519.848
    -39.1794     -519.848            0
           0     -2944.22      180.645
     2944.22            0      2759.18
    -180.645     -2759.18            0
           0     -490.591      53.3517
     490.591            0      543.811
    -53.3517     -543.811            0
           0     -835.896      78.5257
     835.896            0       793.71
    -78.5257      -793.71            0
           0      -169.05      23.3043
      169.05            0      252.215
    -23.3043     -252.215            0
           0     -486.504      37.5914
     486.504            0      393.091
    -37.5914     -393.091            0
           0     -4767.63      232.152
     4767.63            0       4107.1
    -232.152      -4107.1            0
           0     -605.741      5.89944
     605.741            0      553.379
    -5.89944     -553.379            0
           0      -555.96      8.67724
      555.96            0      530.196
    -8.67724     -530.196            0
           0      -145.75      41.4961
      145.75            0       405.73
    -41.4961      -405.73            0
           0     -1023.01       149.61
     1023.01            0      1730.16
     -149.61     -1730.16            0
           0     -53.7483       23.373
     53.7483            0      256.712
     -23.373     -256.712            0
           0     -329.924      19.4897
     329.924            0      399.281
    -19.4897     -399.281            0
           0     -156.909      19.7405
     156.909            0      306.544
    -19.7405     -306.544            0
           0     -132.964     -2.77906
     132.964            0      124.067
     2.77906     -124.067            0
           0     -121.526     -3.15831
     121.526            0      109.919
     3.15831     -109.919            0
           0     -85.7659     -1.09823
     85.7659            0      106.225
     1.09823     -106.225            0
           0     -219.976     -17.5616
     219.976            0      170.011
     17.5616     -170.011            0
           0      -1775.1     -204.298
      1775.1            0      1101.46
     204.298     -1101.46            0
           0     -707.693     -80.1096
     707.693            0       284.36
     80.1096      -284.36            0
           0     -507.309     -74.2849
     507.309            0      176.799
     74.2849     -176.799            0
           0     -370.201      -53.601
     370.201            0      35.2192
      53.601     -35.2192            0
           0     -167.262     -26.4481
     167.262            0     -56.7453
     26.4481      56.7453            0
           0     -128.082     -21.0135
     128.082            0     -13.0947
     21.0135      13.0947            0
           0     -213.934     -31.3456
     213.934            0     -40.2995
     31.3456      40.2995            0
           0     -165.712     -25.2459
     165.712            0     -86.9262
     25.2459      86.9262            0
           0     -97.0739      -14.925
     97.0739            0     -88.4335
      14.925      88.4335            0
           0     -368.781     -62.9033
     368.781            0     -332.084
     62.9033      332.084            0
           0     -2492.26      -302.66
     2492.26            0      195.816
      302.66     -195.816            0
           0     -541.836     -49.5852
     541.836            0      126.953
     49.5852     -126.953            0
           0     -359.151     -24.8313
     359.151            0       180.44
     24.8313      -180.44            0
           0     -480.255     -37.9792
     480.255            0      286.048
     37.9792     -286.048            0
           0      -745.88     -128.463
      745.88            0      -606.62
     128.463       606.62            0
           0     -196.745     -26.6993
     196.745            0     -296.612
     26.6993      296.612            0
           0      2.63924      6.37153
    -2.63924            0      7.61316
    -6.37153     -7.61316            0
           0      2.48119      13.7151
    -2.48119            0      16.8605
    -13.7151     -16.8605            0
           0      4.16146      16.6618
    -4.16146            0      22.8609
    -16.6618     -22.8609            0
           0      16.9246      26.3477
    -16.9246            0      35.7872
    -26.3477     -35.7872            0
           0      5.68422       17.921
    -5.68422            0      21.9627
     -17.921     -21.9627            0
           0      91.8516      24.6342
    -91.8516            0      34.1156
    -24.6342     -34.1156            0
           0      64.9257     -21.5769
    -64.9257            0     -28.5074
     21.5769      28.5074            0
           0      580.304     -360.143
    -580.304            0     -542.782
     360.143      542.782            0
           0      413.176       -361.6
    -413.176            0     -534.802
       361.6      534.802            0
           0      16.2168      3.80529
    -16.2168            0      5.46903
    -3.80529     -5.46903            0
           0      130.996     -107.963
    -130.996            0     -143.857
     107.963      143.857            0
           0      28.1539     -17.2635
    -28.1539            0     -19.2431
     17.2635      19.2431            0
           0      308.884      -208.31
    -308.884            0     -333.962
      208.31      333.962            0
           0      603.539      -526.63
    -603.539            0      -808.66
      526.63       808.66            0
           0      606.135     -489.215
    -606.135            0     -797.706
     489.215      797.706            0
           0      873.858      -564.48
    -873.858            0     -959.803
      564.48      959.803            0
           0      553.979     -123.736
    -553.979            0     -218.688
     123.736      218.688            0
           0      3623.04     -1226.87
    -3623.04            0     -2209.27
     1226.87      2209.27            0
           0      76.7504      14.0168
    -76.7504            0       20.698
    -14.0168      -20.698            0
           0       35.852      31.9201
     -35.852            0      50.9193
    -31.9201     -50.9193            0
           0      22.8208      7.47501
    -22.8208            0      11.1115
    -7.47501     -11.1115            0
           0      91.5246     0.207677
    -91.5246            0     -4.41683
   -0.207677      4.41683            0
