        -nan         -nan         -nan
        -nan         -nan         -nan
        -nan         -nan          inf
     213.193      3531.58      53.7058
     2238.72      58099.3       1181.5
     53.9197      1882.54      93.5192
     776.202      6053.67      67.2388
     5409.48      50214.9      573.848
     149.271      1409.07      70.5607
     3106.09      29032.7      786.502
     25127.2       244037      6680.97
     1063.19        10412      346.413
     440.146      3132.79      160.149
      2656.9      26332.2      1148.27
     180.766      1560.12      106.338
     623.835      5945.68      277.686
     4924.13      55020.7      2643.85
     292.564      3363.87      217.835
     670.236      5612.79      360.014
     4700.87      48671.7      2988.58
     367.974      3653.48      276.362
     262.597      2371.67      198.634
      1808.2      27016.1      2207.02
     172.491      2509.64      268.323
     155.043      1311.26       96.213
     979.177      16176.6      1267.62
     80.9107      1451.05      168.558
      148.81      1145.79      95.2264
     719.961      17230.5      1099.47
     77.0947         1318      121.884
     139.298      1777.29      187.778
     1126.48      31338.8      3338.55
     129.226      3645.39      443.689
     170.125      8479.08      1034.23
     2886.87       263249      32057.7
     376.305        34174      4217.61
     271.834      5771.67      734.584
     3574.54       104969        13296
     476.373      13886.1      1815.79
     68.8901      452.551      68.7071
    -1190.73        72938      10246.5
    -168.271      10622.2      1548.17
     76.3371      1147.38      173.245
    -27.1937      53593.1      7742.68
     3.60374      7870.15      1194.06
     85.5051     -305.108     -39.8114
    -781.145      19854.6      3403.25
    -119.036       3350.5      632.019
     93.1586     -406.024     -58.7004
    -788.724      15308.2      2585.23
    -123.843      2599.47      495.303
     95.5617      1155.92      174.808
     513.611      29219.7       4178.9
     82.7201      4152.25      652.159
     76.4737     -96.4478     -1.35215
     -527.48        17838      3000.15
    -70.2742      2893.08      545.906
     74.4913      78.7829      29.5923
    -159.574      10355.1      1742.06
     -8.2054      1626.75      328.839
     187.529      2838.66      432.115
     1660.15      54162.6      7750.16
     255.134      7464.29      1121.51
     1588.29      31552.6      3961.26
     21546.2       456398      57102.1
     2776.04      58513.8      7382.79
     883.109      10884.9      1204.55
     8070.96       115351      12445.1
     960.093      13290.7      1485.49
     644.253      7431.87      799.856
     5660.33      79418.7      8321.62
     661.177      8982.14      1002.11
     431.184      6172.48      697.683
     4483.82      80071.6      8975.88
     545.533      9642.54      1139.65
     447.942      7969.87      1168.81
     4636.21       121131      17123.7
     680.233      16655.9      2430.98
     113.392       79.679      45.5691
     -471.64      22529.9      3786.48
    -38.0345      3396.76      630.591
     652.532      808.414     -122.413
     828.395      1246.52     -185.327
    -120.579     -179.783      70.5689
     1510.01      1899.66     -217.365
     1927.33      2632.42     -296.916
     -206.38     -279.474      75.5245
     2487.83      3655.86     -186.143
     3722.41      5755.05      -282.15
    -173.613     -260.168      55.6435
     7359.75      10308.5     -342.649
     10434.9      14868.2     -483.332
    -303.006     -423.207      56.5616
     2777.37      3436.53       -321.4
     3474.25      4491.24     -414.737
    -301.159     -385.787      79.5806
       25580      39594.7      296.358
     40202.5      62540.8      483.657
     380.055      604.053      46.9544
     10310.8        14337     -607.158
     14528.3      20449.9     -855.233
     -593.01     -825.986       77.288
     72733.5       109531     -361.763
      111280       167876     -539.258
    -409.056      -604.23      44.1558
     28869.7      43225.8     -743.996
       44098      66324.1     -1126.83
    -940.206     -1401.21      66.1683
     2899.34      3593.25     -362.019
     3638.64      4706.62     -468.427
    -352.048     -451.302      88.8469
       11190        15634     -853.329
     15918.8      22496.1     -1217.08
    -911.317     -1278.75      112.138
     3094.69      3828.63     -429.892
     3892.82      5018.38     -557.211
    -438.597     -560.517      106.468
     28629.3      45046.4      200.317
     45985.8        72685      340.945
     138.864      234.781      43.0078
     36839.3      56924.5     -590.205
     58296.8      90402.2     -920.589
    -875.111     -1342.24      55.6127
     31090.5      50357.2      -3.7665
     51810.1        84279      14.2987
    -276.638     -431.535      41.2792
       59776      99072.4       1320.5
      101607       168776      2271.89
     1104.68       1854.5      66.5035
     76732.6       125156      1829.94
      127745       208710      3070.17
     1954.82      3209.43       89.312
      339416       573762      12264.4
      588444       995110      21293.9
     12350.4      20905.4      489.156
     9993.34      17425.7     -7.86752
     17921.7        31652       6.1636
     6.15349      27.8645      42.3503
      8636.2      14522.1     -92.0055
     14858.6      25353.5     -143.268
    -66.8142     -99.9431      43.0927
     2328.47      4237.24     -151.184
     4404.01      8457.25     -280.522
    -156.988     -284.101      52.1445
     6621.41      11985.3      102.778
     12409.2      22824.7      207.572
      104.14      201.069       41.795
     1913.04      3555.69     -107.581
     3719.56      7384.94     -198.381
    -114.937     -207.249      48.1774
     1269.02      2393.55     -54.1931
     2520.63      5266.79      -86.643
    -60.2597     -98.2045      44.2446
     1176.44      1844.22      -153.71
     1904.17      3319.04      -264.07
    -154.663     -259.881      63.5972
     3950.59      4876.86     -599.274
     4995.65      6368.58     -775.428
    -646.901     -818.304      144.258
     8430.33      11569.2     -801.028
       11870      16539.9     -1134.46
    -916.482     -1267.33      130.142
     12727.4        17226     -1384.85
     17821.7      24362.7     -1947.31
    -1663.87     -2263.63      224.284
     4733.39      5841.54     -769.751
     6030.33      7640.42     -998.561
     -872.73      -1097.7      188.298
     32883.3      48132.2     -2223.56
       49914      73346.8      -3374.4
    -2927.23     -4288.04      239.793
     6074.44      8521.55     -991.598
     8863.44      12692.7     -1464.48
    -1166.41     -1657.88      234.881
     7224.29      10757.9     -884.996
     11213.5      16994.5     -1382.97
    -1071.17     -1608.57      173.599
      1551.1      2372.21     -320.807
     2474.99       4113.7     -539.587
    -358.634     -579.696      119.215
     3744.62      4857.05     -815.508
     5038.74      6756.25     -1124.85
    -929.936     -1237.21      251.157
     2010.86      2980.15     -502.191
     3104.04      4900.71     -811.679
    -563.324      -875.33      189.114
      3078.5      4318.95     -956.376
     4483.31      6552.29     -1439.97
    -1063.65     -1543.47      385.042
     7694.72      12029.5     -827.022
     12555.8      19958.6     -1355.06
    -995.089     -1565.17      148.296
     1779.55      2850.68      -341.89
     2974.41      5125.02     -596.146
    -372.001     -623.119      114.859
     2571.38      4450.28     -435.761
     4631.16       8431.3      -803.93
    -457.462     -812.312      118.723
     8047.08      13271.8     -693.037
       13850        23214      -1192.1
    -826.048      -1365.3      111.198
     77987.8       120142     -4278.56
      124819       192606     -6843.13
    -5845.17     -9004.25      361.884
     90343.7       144336     -3352.01
      150198       240310     -5562.21
    -4912.03     -7841.35      222.572
     78127.9       121276     -2945.03
      125098       194512      -4707.4
    -4083.85     -6335.15      195.305
     62004.9      93074.4     -3010.46
     95727.5       143995     -4643.24
    -3918.45     -5881.22      232.149
     49215.5      78728.8     -1099.11
     81415.4       130592     -1804.05
    -1774.68     -2829.03      80.3104
     2977.14      5140.58     -202.865
     5245.15      9291.67      -369.32
    -170.164     -304.061      66.3872
     10693.3      18227.8      -480.35
     18779.1      32390.2     -848.936
    -521.965     -896.154      79.5041
     15003.2      26722.4     -637.788
     27606.1      49630.6     -1160.06
    -685.694     -1209.73      75.1041
     55225.9      96012.2     -993.466
     99641.4       173684      -1772.3
    -1585.68     -2740.88      75.4207
     12202.6      20427.1     -601.369
     21130.2      35724.5     -1039.86
     -689.11     -1154.26      78.1906
     43652.5      74573.2     -282.596
     77534.1       132878      -478.25
    -761.795     -1281.93      44.5609
     24079.6        42244      -350.21
     43886.7      77457.3     -611.308
    -636.906     -1095.94      49.3287
      110478       193615       890.08
      201088       352861      1649.68
    -497.533     -847.875      36.4215
     40728.4      71311.1      1017.74
     73818.5       129695      1880.51
     596.736      1074.93      56.3675
     7931.85      13141.8     -397.158
     13645.1      22888.6      -679.64
     -485.37     -803.012      69.0637
     11613.2        20158     -67.3422
     20927.7      36616.3     -107.404
    -194.532     -326.752      39.5467
     5768.65      9335.28     -260.847
     9700.55      15901.3     -437.973
    -320.809     -519.858      59.1298
     39963.3      66878.3     -203.439
     69349.5       116456     -330.975
    -721.063     -1189.51      43.9983
     47048.9      80083.6      756.537
     82704.5       141186      1359.34
     308.084      548.903      46.2222
      100585       165521     -2075.21
      172214       283774     -3535.93
    -3485.13     -5722.23       111.63
     8537.12      14570.8     -561.694
     15170.3      26296.3       -990.7
    -652.052     -1108.47      81.9847
      9289.7      16277.9     -479.609
     16889.9      30030.2     -859.114
    -518.972     -898.559      65.4783
     1820.83         3308     -226.542
     3408.07      6672.06     -429.393
    -206.217         -378      64.1216
     1971.54      3520.61     -279.415
     3650.89       6976.7     -528.572
    -276.812     -505.369      78.6008
      2217.6      4026.77     -224.039
     4118.62      7867.68     -428.951
    -195.492     -365.534      64.0226
     4725.87      7836.27     -238.766
     8157.88      13902.6     -423.115
    -288.291     -491.023      91.6313
     12117.8      21498.8      107.115
     22329.8      39921.2      215.931
     3.27273      21.1602      39.1178
     10987.9      19895.3      160.719
     20728.5      37873.7      304.129
     82.4903      149.277      65.0794
     3844.89      6828.48     -320.305
     7139.32      13013.6     -606.343
    -371.585     -672.782      108.678
     20606.7      38628.9      1431.81
     40127.7      75478.8      2805.28
     1357.51      2560.44      133.453
     4286.39      8409.02     -136.936
     8856.24        17611     -300.764
    -180.939     -370.237      79.6266
     6778.06      13765.7       322.12
       14450      29741.1      708.996
      296.02      622.372      82.3596
     2286.91      4819.57     -164.394
     5122.38      11235.4     -365.861
    -198.218     -418.343      73.3637
     2780.17      5169.91     -309.208
     5450.82        10429     -605.418
    -351.216     -653.676      107.325
     1564.57      3448.87      -149.71
     3706.76      8525.16     -365.805
    -181.827     -413.542      67.2876
     1689.66      3419.12      -273.93
     3660.27      7607.24     -604.696
    -312.613      -644.65      89.4389
     3677.92      7161.97      122.682
      7482.8        14923      271.232
     113.954      240.944      44.0918
     1942.66      4023.19     -124.385
     4275.85      9486.84     -242.798
    -145.677     -278.266      66.2521
     47561.9      84575.4      2530.09
       87282       155497      4664.43
     2459.84      4393.55      171.074
      155679       267367       5428.2
      275242       473120      9632.69
      4666.9      8046.06      205.068
       54883      98597.5      2615.82
      102014       183569      4884.58
     2250.33      4062.36      146.792
     2770.21      4164.01      -1126.3
     4297.18      6763.51     -1817.27
    -1211.15     -1894.34      555.489
     4278.21      7124.24     -1549.15
     7379.64      12657.1     -2736.89
    -1656.55     -2826.33      655.816
     5804.73      10110.7     -2483.18
     10364.4      18454.4     -4516.54
    -2541.56     -4510.48      1148.84
     2310.26      3590.09     -1071.12
      3667.3      6026.04      -1785.1
    -1113.54     -1817.57      585.302
     15397.8      29277.4     -6158.51
     30023.9      57556.5     -12088.5
    -6130.94     -11735.9      2508.68
     6041.16      10886.9     -2895.19
     11035.1      20318.2      -5387.7
    -2837.82     -5211.05      1426.95
     14247.9      27549.6     -6358.94
     27912.2      54461.7     -12552.8
    -6002.39     -11695.7      2739.66
     2484.31      4983.27     -1321.07
      4998.5      10583.7     -2787.75
    -1197.85     -2521.23      708.474
     2384.32       3862.2     -1236.39
     3904.85      6685.75     -2127.46
    -1243.77      -2117.8       721.13
     2616.19      4998.24     -1501.76
        5015      10087.7      -3015.3
    -1419.65      -2842.4       895.27
     2609.98      4570.98      -1632.2
     4574.03      8442.03     -3001.68
    -1590.27     -2924.19      1087.58
     7139.26      14470.4     -3007.81
       14612        30154     -6247.98
    -2699.32     -5553.05      1193.61
      2497.9      5245.71      -1259.4
     5237.54      11604.3     -2766.65
     -1081.2      -2379.6      610.641
     3438.46      7840.06     -1608.98
     7755.51      18377.8     -3749.65
    -1276.17     -3006.14      655.192
     4690.62      10036.3     -1780.81
     10045.7      22092.1     -3897.31
    -1485.91     -3247.92      614.621
     10270.9      20521.3     -3886.88
     20949.7      42371.6     -8004.81
    -3692.79     -7449.88      1450.36
     4530.48      9352.18     -1519.58
     9488.52      20142.3     -3249.53
    -1358.67     -2863.06      503.464
     6070.89      11348.8     -1852.27
       11743        22409     -3637.48
    -1878.46     -3565.83      621.566
     6756.22      12182.9     -2206.58
     12622.4        23186     -4181.24
    -2318.33     -4241.07      808.444
     5067.21      9834.96     -1368.86
       10133      20166.8      -2784.1
    -1324.55      -2614.9      402.494
      1634.3      2996.44      -1178.2
      2962.4      5930.91     -2319.36
    -1111.74     -2215.99      915.043
     3292.56      6954.91     -2335.07
     6882.12      15161.6     -5074.97
    -2133.69     -4688.73      1615.56
     3064.23      6740.17     -2399.25
     6599.04      15208.7     -5398.89
    -2126.27     -4890.18      1782.29
     1332.29      2512.98     -1039.71
     2466.23      5198.26     -2138.35
    -958.388     -2011.43      876.192
     15804.4      38982.1     -12362.2
     38056.8      94692.9     -30012.1
    -10419.2     -25913.1      8257.83
      3577.6      8204.66     -3024.72
     8012.58      19147.4     -7046.46
    -2631.07     -6280.72      2357.95
     15727.8      39626.1     -13071.3
     38609.7      98172.2     -32369.1
    -10784.8     -27414.3      9083.97
      3423.1      9059.27      -3182.3
     8843.49      24471.5     -8585.54
    -2600.63     -7194.14      2569.43
     1390.85      2722.13     -1165.23
     2658.99      5811.04     -2477.06
    -1056.42     -2302.98      1030.85
     2399.57      5852.98     -2294.09
     5713.81      14866.9     -5818.25
